BICYCLES*, garbage
CANDY WRAPPERS, garbage
CERAMICS*, garbage
CHIP BAGS, garbage
CLING WRAP, garbage
CONDIMENT PACKETS, garbage
COTTON SWABS, garbage
DIAPERS, garbage
FOUNTAIN DRINK CUPS, garbage
FOILS (SOILED), garbage
JEWELRY*, garbage
MENSTRUAL PRODUCTS, garbage
PLASTIC BAGS, garbage
PLASTIC STRAPPING, garbage
PLASTIC WRAPPING, garbage
POUCH PACKS, garbage
RAZORS, garbage
STIR STICKS (PLASTIC), garbage
STRAWS (PLASTIC), garbage
STYROFOAM, garbage
TOYS*, garbage
WAX PAPER, garbage
ZIPLOC BAGS, garbage
